#{"t_start": 1733828281.8694558, "env_id": "LunarLander-v3"}
r,l,t
-165.663711,76,562.877935
7.344085,83,566.12496
-111.510518,109,570.313305
-97.385818,110,575.224519
-107.871871,104,578.947415
-60.818753,115,582.36179
-85.085583,114,586.434119
-105.445028,100,590.584074
27.337053,76,593.255735
-69.672466,104,597.404199
-91.409261,78,600.399308
14.870988,84,603.564404
-129.813437,112,607.574985
-97.386598,75,610.483183
-61.773608,99,614.471323
-22.969109,137,619.738824
-92.798357,68,622.393481
-94.136174,65,624.906481
-135.325263,68,627.255667
-86.142116,94,630.142539
-121.624108,151,634.578184
-77.243787,97,638.302136
-30.487993,133,643.044109
-88.425558,113,646.544849
-87.9736,110,650.535623
-108.330446,109,654.725287
-134.66573,123,659.357335
-47.319837,98,662.724482
-61.029576,168,677.554129
-83.061297,89,680.294566
-90.191596,98,683.432917
-82.406268,115,687.138543
-81.56628,139,691.495098
-72.886867,77,694.378962
-56.959258,69,696.384657
-108.373899,100,699.257736
-66.651415,116,702.81925
-68.933582,98,706.043385
-98.251638,100,709.466339
-81.044068,77,712.152169
-112.635201,114,716.320227
-76.975062,70,719.051346
-52.973329,173,724.845673
-67.931828,87,727.416819
-36.566494,135,731.575689
-82.094051,106,735.041964
-104.92777,83,738.474771
-40.404835,129,743.184508
-97.845828,123,747.237021
-41.311016,111,751.158266
-75.316804,88,754.524239
-90.636017,145,759.781936
-104.273873,106,763.924533
-74.482302,145,768.272697
-56.939802,113,772.656408
-74.577819,147,777.01813
26.837256,155,781.809792
-120.057421,125,785.060891
-52.739607,80,787.293184
-29.561945,91,789.835847
-108.94209,112,793.846535
-95.392827,157,799.257171
-62.131565,131,803.440933
-95.321764,87,806.414687
-111.610393,81,809.431072
-68.717442,75,812.936291
-46.283015,79,816.040551
-256.617581,141,822.10793
-76.189973,129,826.936349
-72.825728,95,830.69711
-52.823924,123,835.385084
-61.437551,172,841.627392
-68.204808,112,845.827358
-35.217866,127,850.589295
-46.293946,150,855.655658
-71.345441,123,860.225217
-93.58952,71,863.426388
-49.505955,92,866.502382
-77.181788,106,870.235983
-67.406916,186,877.004434
-28.047001,152,882.021945
-68.380984,109,885.832107
-16.452105,177,892.19835
-46.227352,82,895.306238
-65.111884,56,897.206135
-98.898493,72,899.476602
-17.004483,102,902.439906
-77.64424,126,906.27
-29.577825,79,908.579498
-9.448564,112,912.068153
-167.253968,58,914.067887
-10.872691,105,916.667083
-42.842103,110,919.606553
-45.252057,88,922.303683
-29.393787,207,928.63096
-52.723204,100,931.695313
-30.443245,195,937.140547
-6.173709,285,944.409805
-20.620146,244,952.330156
-63.632261,198,958.500389
-19.794289,162,963.617009
-61.70017,165,968.335317
26.503746,160,973.145286
-61.385601,245,980.29536
-6.918452,215,988.651758
-64.991518,133,992.299768
-46.018936,83,994.73064
-74.169647,134,998.998564
-82.055077,141,1004.042467
-37.094199,178,1008.945446
-139.948549,292,1016.660743
-107.221232,123,1021.191992
4.797529,147,1025.356749
-20.056878,90,1027.688216
-25.300627,331,1035.968454
-63.612681,99,1038.518688
-38.745052,116,1041.536924
-113.564735,309,1048.943717
-11.337402,261,1055.795559
8.640793,233,1061.409951
-48.561024,165,1065.810147
-87.488085,134,1068.83518
-143.44617,191,1074.016509
-23.3494,324,1082.301049
3.910375,228,1089.029121
-11.949766,188,1094.087951
-55.202124,189,1099.119503
-44.935309,201,1103.892242
-22.249406,162,1108.720533
-2.736874,340,1116.17385
-63.651467,188,1121.192958
-43.331394,604,1136.532334
-62.911536,375,1145.832298
-54.312831,200,1151.755959
-68.024163,330,1161.053202
-101.589598,137,1165.514569
-81.392236,755,1187.092331
-87.833766,255,1195.237453
-19.765902,86,1198.158293
15.252844,249,1204.794495
92.625251,1000,1229.617391
-22.417185,157,1234.415306
-54.828351,1000,1256.25262
-45.431452,1000,1275.804881
-51.082153,1000,1297.848196
-36.155057,1000,1320.561983
22.695148,1000,1342.18013
-36.631788,1000,1361.312653
-74.198525,1000,1390.3486
-105.306674,1000,1407.851722
-40.603185,1000,1424.34034
-103.27048,1000,1441.269073
-55.995861,1000,1458.508843
-100.634826,1000,1472.941894
-111.959649,1000,1488.97594
-113.859031,1000,1503.613204
-195.763087,747,1514.063399
-120.244279,1000,1526.10402
-92.401831,1000,1539.519156
-89.193616,285,1543.326603
-130.227292,360,1547.879243
-79.493594,1000,1561.197764
-115.185197,1000,1573.513322
-74.37081,1000,1586.276261
-31.475404,1000,1600.209089
-102.0612,1000,1612.637987
-68.14469,1000,1625.278909
-63.054953,1000,1637.188124
-59.169943,1000,1649.016245
-81.927865,1000,1661.831779
-52.696816,1000,1674.569159
-81.527328,1000,1687.464024
-67.921098,1000,1700.019875
-53.867048,1000,1712.664118
-87.889838,1000,1724.324814
-90.322099,1000,1743.682639
-92.815431,1000,1755.676873
-80.33447,1000,1767.835682
-115.86827,1000,1779.651316
-562.074513,298,1783.151706
-107.079098,1000,1795.199098
-15.610602,1000,1807.105335
-564.775645,80,1808.306503
-75.268712,1000,1819.958006
-46.495775,1000,1832.022399
-3.117975,1000,1844.567246
-26.943993,1000,1857.785892
-61.502442,1000,1869.580937
38.261766,1000,1882.20587
-78.111298,1000,1894.999875
-43.571302,1000,1907.862828
-20.117682,1000,1921.839626
-37.857465,1000,1934.97397
260.284811,423,1940.17904
97.504565,967,1952.986769
-5.149008,1000,1965.023883
-51.188344,1000,1978.602648
-27.176618,1000,1991.197957
-17.324667,1000,2003.182181
113.346968,1000,2015.930238
51.950168,1000,2029.022141
-34.892692,1000,2042.620626
-22.462716,1000,2066.324454
-30.939703,1000,2079.394337
24.144756,216,2082.119007
-13.621944,1000,2093.867076
136.843656,968,2105.680956
3.954316,1000,2117.753204
-68.423738,1000,2128.97907
4.596964,1000,2141.442194
154.898041,992,2153.887954
239.688405,513,2159.829609
-16.760177,157,2161.712755
-69.6644,92,2162.753807
-17.258909,86,2163.619575
218.354818,504,2169.180666
123.189804,981,2179.908397
-22.138716,83,2180.873796
244.739519,207,2183.336031
274.819272,337,2187.358821
15.183101,98,2188.455184
2.441982,1000,2200.004693
-53.65367,1000,2213.246526
162.091749,1000,2225.883491
-3.101308,113,2227.41462
11.532758,1000,2239.070192
-6.938595,1000,2251.408252
-47.820712,1000,2265.169072
-0.496355,1000,2278.565779
-23.279428,1000,2291.117241
-5.761025,98,2292.51642
260.542551,232,2295.572073
-37.49775,1000,2308.535379
-34.976818,1000,2320.502798
112.865801,1000,2335.117063
112.931439,1000,2347.124449
214.971323,304,2350.481644
157.056737,652,2357.595264
32.010562,93,2358.603115
15.08767,1000,2374.994789
239.320554,411,2379.986663
216.063808,584,2387.025862
-3.177606,1000,2399.336699
246.856061,193,2401.962702
259.279514,307,2405.554783
-56.743192,1000,2418.128697
-11.639831,1000,2430.659437
-5.77901,168,2432.808288
169.026734,1000,2445.306398
214.581123,343,2449.470339
243.183527,259,2452.604802
134.103088,1000,2465.002367
12.904767,1000,2477.175196
248.381863,203,2479.412409
-58.672524,1000,2491.384853
242.036686,289,2494.642722
-13.169891,530,2500.571462
248.117486,235,2503.22998
226.270607,557,2509.476733
185.125234,903,2520.217865
238.316791,295,2524.290182
262.643416,231,2526.973723
261.660224,223,2529.692608
-21.027806,1000,2541.784373
85.90133,1000,2554.413097
-26.347635,1000,2565.824796
215.987076,387,2570.089926
158.175038,772,2579.570542
249.379534,332,2583.479488
29.065324,99,2584.495257
219.477598,234,2587.495269
-60.951973,1000,2599.587629
280.013311,443,2604.723967
175.059618,838,2616.060736
58.974429,97,2617.551551
273.766296,183,2620.25542
16.831651,129,2622.297377
251.001697,366,2627.759147
-56.226591,1000,2642.010334
246.275401,314,2646.432849
-6.650398,292,2650.270761
224.606882,323,2654.244212
235.938844,479,2660.789903
201.45524,466,2666.625428
1.371686,194,2669.443252
243.234784,426,2675.562221
227.727818,408,2680.633999
195.724083,410,2688.733582
256.769619,287,2692.081512
-26.43817,1000,2703.710456
244.017921,302,2706.951045
245.639867,441,2711.882355
134.273146,783,2721.103236
89.279525,1000,2733.606451
131.346171,1000,2746.197328
