#{"t_start": 1733298205.2908344, "env_id": "LunarLander-v3"}
r,l,t
-80.843951,128,328.746094
-92.053077,120,331.682466
-43.991335,85,333.711962
-77.520556,75,335.514528
-97.594137,112,338.414961
-12.596049,145,342.061291
-203.93183,90,344.527189
-87.818346,102,346.870673
-46.179159,91,348.90012
-141.13842,66,350.322287
-100.651368,98,352.211967
-50.618476,112,354.684396
-218.094018,60,356.096842
-84.266918,95,358.228889
-60.088364,94,360.326005
-52.222835,80,362.193576
-254.537414,75,363.947799
-106.40918,111,366.428996
-48.695589,72,368.112671
-84.384155,117,370.881926
-39.233252,57,372.243656
-77.114286,95,374.344603
-90.657941,90,376.602985
-67.356707,70,378.247796
-96.430215,152,381.618513
-51.744927,88,390.534494
-145.541822,100,392.621459
-54.845288,109,395.191406
-154.460542,62,396.60567
-50.659277,78,398.337429
-43.115429,151,401.689018
-64.403766,114,404.32072
-97.702548,111,406.923802
-61.967823,126,409.538983
-49.076369,62,410.943991
-69.368337,109,413.582991
-5.174891,164,417.159763
-96.848782,82,419.044258
-64.760005,98,421.272088
-60.63563,131,424.163155
-64.855793,145,427.205552
-43.720812,162,430.64442
-119.875865,52,431.743209
-40.858322,116,434.310902
-40.303228,105,436.607316
-66.595607,113,439.271255
-65.955106,102,441.614527
-28.836177,167,445.229586
-76.839454,61,446.524943
-71.280237,134,449.3314
-91.116881,146,452.38361
-55.962904,88,454.245858
-49.215055,111,456.540683
-104.055812,113,459.134673
-4.104916,139,462.213245
-84.207476,70,463.677568
-53.728874,99,465.640178
-51.983853,68,467.034144
-48.674411,73,468.589801
-25.463263,161,471.838393
-40.74659,95,473.878518
-110.888554,53,475.097875
-82.225319,133,477.957962
-17.102809,79,479.58589
-115.407093,135,482.270335
-70.628845,70,483.765925
3.907894,141,486.643039
-78.636184,105,488.693622
-58.133194,124,491.215189
-39.608389,141,494.112937
-49.5567,77,495.834647
-85.83655,128,498.79505
-26.040663,188,502.35714
-284.471627,75,503.977417
-40.477066,67,505.424843
-20.332225,118,507.655582
-90.642027,88,509.535402
-12.745046,68,510.973316
-50.724155,174,514.367496
-44.554939,169,517.656493
-16.183308,159,520.811739
-11.767339,226,525.329563
-118.345226,65,526.736767
-100.075835,131,529.674325
-32.717444,92,531.577202
8.43068,224,535.883006
-34.555919,126,538.285468
-7.201679,141,541.094544
-198.054859,63,542.554188
20.50541,153,545.506766
-83.25156,66,546.784873
-57.324816,165,550.227739
-69.0473,123,552.534009
-50.551069,80,554.227806
-63.9491,120,556.741355
-119.552352,71,558.27518
-33.911486,120,560.752224
-25.873974,125,563.346045
-89.045815,93,565.43024
-74.030707,98,567.446971
-52.131616,107,569.811581
-74.615989,73,571.355742
-55.005273,147,574.048915
-27.077762,120,576.541365
15.70608,105,578.848206
-28.669343,110,581.158082
-31.211236,165,584.366811
-196.57965,96,586.225016
-39.112846,122,588.564167
-34.999588,142,591.567977
-43.154479,107,593.701637
27.766688,169,596.555945
-49.80152,79,598.158872
-44.184166,88,599.795011
-39.940062,132,602.343122
-21.832538,215,606.568876
-36.386329,141,609.229968
-78.113832,101,611.253203
28.977123,131,613.649441
-46.72089,105,615.853468
-88.510213,74,617.297591
9.646225,121,619.401866
-125.361936,68,620.797432
-5.23263,121,623.111047
4.382845,177,626.486104
-166.771237,142,629.314604
-7.085986,166,632.668284
-99.034063,85,634.426669
-12.205501,226,638.584184
-48.564233,75,640.04331
-33.618197,155,642.883242
-13.097111,153,645.900797
-101.348007,78,647.497787
-46.928852,93,649.551294
-27.254341,122,652.25491
121.750218,1000,670.238858
-33.753962,155,672.948896
-15.516906,97,674.720849
-0.256915,119,676.877239
22.299608,171,679.977725
-34.71942,129,682.490477
25.990005,206,686.20147
-65.732294,475,694.063937
227.692722,301,698.949954
276.020606,283,703.076174
185.866033,531,711.79842
240.107303,304,717.097546
-49.740514,120,719.281919
17.80845,144,721.767673
-80.31159,560,730.853468
-27.430763,126,732.87307
-49.279244,66,733.892797
-59.839714,66,735.124678
-90.744784,734,746.735142
-242.886895,508,754.654205
-231.48858,397,760.686923
-52.693972,1000,775.793401
-25.482466,82,777.158864
244.58354,291,781.612985
-16.763309,101,783.296539
110.671338,541,791.685649
268.955599,272,795.633611
-74.589981,368,801.25902
8.874524,143,803.506444
179.959154,425,809.66983
60.280134,1000,823.514135
24.715466,99,824.926821
13.756952,104,826.489376
201.107083,686,835.785044
26.92641,1000,853.338555
13.798161,1000,865.588404
97.184046,1000,877.85579
61.617712,1000,890.121377
-103.585605,566,896.5098
179.969745,682,904.409532
-22.303557,1000,915.817792
-16.227994,153,917.61617
-30.998529,1000,928.406695
239.951865,534,933.587733
247.590293,247,936.019842
-107.638519,596,942.376912
-161.010205,752,950.034848
206.412948,664,956.753191
-8.837357,1000,967.179549
