#{"t_start": 1733244640.7794728, "env_id": "LunarLander-v3"}
r,l,t
-51.005679,84,59.900905
-63.212898,117,60.186223
-48.274173,71,60.368451
-52.592897,101,60.606739
-17.911239,142,60.980927
-56.39678,68,61.146015
-52.741244,78,61.379282
-39.327225,109,61.679081
-135.783806,107,61.943613
-28.667801,147,62.310414
-26.361764,92,64.685816
-44.5781,96,64.918821
-5.121968,125,65.231931
-79.578286,135,65.564928
15.556069,138,65.93867
-28.65699,80,66.118519
-222.814229,109,66.358749
-46.860847,90,66.548118
-37.69384,120,66.807812
-19.159771,130,67.086925
-82.110985,68,67.242533
-47.975034,143,67.565078
-3.654672,120,67.829824
-49.614021,114,68.090241
-33.670696,79,68.264043
-53.893561,121,68.521624
-11.390516,145,68.853162
-51.033395,130,69.183411
-10.999695,176,69.615069
-28.440234,106,69.851912
-49.093509,132,70.137282
-11.611195,148,70.479775
-32.485042,95,70.704044
2.219588,166,71.129811
-97.543282,119,71.448268
-60.266796,80,71.648641
-202.506619,210,72.150435
7.052429,87,72.350551
-0.013052,97,72.599766
-69.542336,115,72.868145
-8.622523,83,73.111542
-10.008007,93,73.356566
-59.664531,104,73.636236
-16.834101,122,73.970776
-28.589337,157,74.348808
-41.245459,93,74.571229
11.574917,112,74.841007
-43.57132,134,75.154536
-1.003285,88,75.374373
-92.211432,78,75.564092
-13.172964,131,75.894915
4.479133,125,76.20055
15.045214,110,76.469633
-21.551729,110,76.733546
-52.326311,127,77.056783
-25.459955,107,77.341925
-23.720022,109,77.633397
-15.787069,109,77.932972
-18.707368,111,78.238823
-22.177587,90,78.466871
-53.156557,74,78.641345
45.051298,97,78.869937
0.676344,116,79.168702
9.093879,168,79.57319
-93.18425,114,79.86108
-48.708875,73,80.033932
24.987762,90,80.253301
-22.020224,124,80.555933
-8.358301,116,80.857967
-8.83952,80,81.067358
-61.713879,117,81.414677
-4.866008,184,81.934189
-13.657635,76,82.135601
-58.96722,127,82.46534
-27.475963,159,82.933748
-21.160066,125,83.302834
-17.08764,120,83.630248
-30.394971,127,83.957184
-19.100248,69,84.147339
27.893696,182,84.645056
9.693199,115,84.956293
-20.616604,101,85.251304
-18.031652,107,85.530232
-35.474095,88,85.758168
-19.201971,82,85.950846
-48.012384,89,86.173522
-57.064351,92,86.410574
-208.57336,495,87.627922
-19.470037,128,87.941267
1.712527,79,88.139734
-53.671861,83,88.36419
-12.686422,385,89.30534
27.125855,1000,91.829271
-35.729595,112,92.092456
-17.122933,164,92.502854
-12.434697,152,92.91191
2.669983,128,93.331849
-9.751884,113,93.668721
-130.279812,423,94.868196
-25.610757,1000,97.541483
-166.077552,174,98.027167
-5.328248,87,98.263195
-51.671474,134,98.601152
-27.140218,79,98.817055
-145.396072,166,99.237378
-18.745137,90,99.458056
-38.619752,86,99.670157
-5.718379,111,99.952887
-138.828956,144,100.330176
-29.876916,134,100.677128
-146.885001,471,102.001763
20.717561,109,102.28123
6.806677,90,102.507394
-63.386822,133,102.831195
-33.630757,92,103.084411
-111.231643,92,103.322775
-11.040395,107,103.584659
-21.174979,237,104.19981
-41.185369,160,104.596335
22.748018,135,104.951722
-10.22033,103,105.223366
-137.491929,128,105.574019
9.933156,148,105.973129
11.723017,103,106.21808
5.088839,86,106.455182
18.604696,126,106.754106
-79.21099,191,107.212817
-77.479101,92,107.420885
1.141093,127,107.706931
5.050069,108,107.947782
-10.089292,1000,110.37748
-46.1625,96,110.586706
-27.842933,77,110.761555
15.118886,86,110.955908
20.558599,98,111.170969
-85.799176,230,111.695546
-16.60564,109,111.94802
-30.973819,99,112.17375
0.011747,116,112.433355
-152.449167,329,113.183512
-76.442467,128,113.54616
-98.402607,152,113.974969
-81.97433,148,114.402451
-42.58904,165,114.832474
-97.269401,119,115.151439
44.97027,100,115.42381
-195.358434,572,116.907447
-28.847556,133,117.291003
18.847136,1000,120.023638
36.199365,98,120.289705
-113.801365,475,121.551736
-64.022871,314,122.465666
-126.861804,143,122.837221
8.386338,1000,125.51695
-20.146744,1000,128.340769
-170.637737,132,128.654106
-63.132842,1000,132.239851
-93.842898,119,132.570015
-105.121045,1000,135.243018
-40.263824,415,136.370593
-15.221093,1000,139.202547
-151.681382,190,139.732174
-75.334722,611,141.381371
-228.276436,719,143.474589
-8.163461,1000,146.269417
-136.535847,133,146.640709
26.750157,1000,149.406061
-164.03147,345,150.325131
-22.635088,1000,152.830438
35.086563,1000,155.271194
-20.508892,1000,157.991043
0.602154,1000,160.651611
-159.637494,188,161.139601
-190.583968,159,161.570383
-139.264055,238,162.316388
-31.369749,1000,164.949906
-90.692052,160,165.37658
-112.171672,207,165.99108
-150.883999,176,166.54669
-110.585138,461,167.857259
-24.430009,1000,171.66317
-103.506729,300,172.533606
-199.650766,776,174.676628
-92.65582,324,175.521261
-210.572693,189,175.967672
-85.063352,240,176.634137
11.174673,1000,179.319216
52.894004,1000,181.951623
-9.098556,1000,184.673841
39.815907,1000,187.498575
-7.471949,1000,190.291064
94.215805,1000,193.06034
0.28191,1000,195.718084
-69.626809,412,196.808233
52.752518,1000,201.46767
-72.257588,1000,204.133825
-357.909548,299,204.966872
-278.108034,533,206.467768
-58.000204,606,208.142205
-264.396386,163,208.570723
126.676716,1000,211.270159
171.379611,1000,214.067496
22.588624,296,214.9341
250.434847,835,217.243072
55.890384,138,217.650902
164.709625,1000,220.526453
177.345137,1000,223.504143
27.350117,123,223.827324
249.827655,557,225.409143
100.405799,1000,228.257089
-249.271568,170,228.716229
259.119748,632,230.483095
144.234024,1000,233.370687
-323.195959,289,234.156536
-134.053791,157,234.580565
-281.646517,288,235.414463
-204.36763,279,236.166176
-41.288587,282,236.969505
-297.656019,202,237.5372
2.348338,190,238.050197
22.349556,127,238.403363
-19.555701,123,238.745443
-252.401455,240,239.454959
-109.303001,121,239.791565
-210.534288,144,240.185801
-178.962593,202,240.730979
-80.397239,108,241.02711
-16.542253,167,241.527104
-134.62471,94,241.785906
-136.672617,124,242.128589
-198.983724,79,242.388769
-9.699228,147,242.833214
79.18357,1000,245.757523
26.783936,1000,248.709742
-190.307548,54,248.843183
-57.815714,125,249.177091
-198.116093,77,249.390912
-150.749436,93,249.664134
-166.348332,64,249.871848
-186.257502,521,251.47754
-74.915525,231,252.118505
-134.810729,286,252.9311
-57.430589,98,253.19467
-145.770466,74,253.398768
-147.0955,97,253.64709
22.320227,158,254.123871
-162.64927,137,254.49904
-131.989002,109,254.826809
-78.743583,186,255.487821
-67.188457,68,255.691669
-85.738112,96,255.956362
-77.594301,115,256.263833
-92.338909,208,256.805771
40.775415,1000,259.426798
-35.908168,91,259.713487
-88.648632,130,260.047201
9.380826,1000,262.833596
32.082021,1000,265.757235
-47.521157,1000,268.56039
-53.845904,101,268.844349
-29.214814,123,269.152068
27.833318,145,269.549901
-85.349403,99,269.798658
-52.72128,1000,273.536062
-161.700821,218,274.111836
-103.028123,204,274.636886
-14.52823,1000,277.331187
-202.863136,103,277.580101
-51.658621,1000,280.22936
12.420252,1000,282.882306
-1.928075,198,283.425429
59.618203,1000,286.185697
-445.18124,159,286.609052
28.336858,1000,289.503767
15.335901,168,289.966304
5.091023,1000,292.989715
-66.532004,107,293.280147
-53.71923,62,293.490902
4.947768,1000,296.446771
-260.727473,368,297.492394
-19.055726,138,297.879297
-19.566402,1000,300.588344
-343.266131,453,301.786183
37.128759,1000,304.649154
40.199492,1000,307.702148
-116.32805,340,308.88475
-134.309507,218,309.533053
-273.474244,106,309.854517
-72.884259,80,310.079265
-11.41491,1000,312.980728
-215.400257,84,313.231769
-79.648357,166,313.726093
-12.404735,122,314.073039
-103.901099,111,314.409585
-103.761472,93,314.684381
-105.3447,91,314.944299
-40.028935,116,315.295882
-79.577358,228,316.035014
-98.878502,239,316.704468
6.305739,292,317.523593
-68.540089,112,317.80115
-40.284796,158,318.250417
-37.867435,114,318.531865
-9.83362,230,319.151659
-126.357441,109,319.428383
163.542343,1000,322.11351
1.602651,114,322.437538
210.54917,481,323.783586
110.825945,1000,326.460844
30.551198,290,327.371712
230.354598,513,328.876127
-77.816348,183,329.348726
69.423477,1000,332.311559
214.663213,710,334.678347
-52.17963,1000,338.003844
-49.546627,1000,340.754905
200.917852,556,342.166042
-367.248287,261,342.856302
25.060546,1000,347.853342
-27.172971,237,348.516063
36.813586,189,349.057646
117.526132,1000,352.008504
127.076358,1000,354.987524
181.190247,963,357.676647
219.597046,781,359.929141
124.315127,1000,362.384139
186.204142,1000,365.012156
284.604224,614,366.582738
278.484554,296,367.429916
200.698126,425,368.559289
159.797694,1000,371.329922
-81.586721,498,372.663202
51.476344,135,373.019328
134.462289,1000,375.837739
198.701876,973,378.544251
26.582914,208,379.193189
158.859524,1000,381.89429
-212.115922,355,382.78221
244.427431,306,383.620065
131.862799,1000,386.085318
150.564309,1000,388.713584
139.529812,1000,391.549748
171.136768,1000,394.30953
293.238622,378,395.371229
221.155842,737,397.300732
173.187554,374,398.321836
16.818773,1000,400.966001
-25.005296,1000,403.559474
18.281033,1000,406.005214
-30.749229,1000,408.580523
22.834369,1000,411.254136
78.430209,1000,414.956838
100.208437,1000,417.667271
-45.528735,1000,420.394869
8.917723,1000,423.215019
-27.122698,1000,425.587803
-24.441641,1000,428.024873
103.898612,1000,430.662081
35.784261,1000,433.304099
145.31275,1000,435.939413
228.58161,641,437.894539
7.207684,196,438.508733
61.559016,176,439.078423
279.210531,310,439.995945
207.885468,283,440.868402
91.421991,1000,443.754082
150.127736,1000,446.31098
108.94542,1000,448.879023
18.171046,112,449.185241
5.588178,343,450.176385
-35.626011,379,451.140938
136.272815,1000,453.857876
95.880833,1000,456.51304
-4.049885,174,456.958142
245.893255,342,457.901143
241.113434,452,459.118248
231.989867,973,461.798425
2.109303,105,462.103583
-48.69722,142,462.502311
41.529967,119,462.875107
57.056166,1000,465.812257
176.964866,1000,468.275409
155.012175,1000,470.809233
231.703026,808,472.700787
246.632689,356,473.565217
230.036243,428,474.611636
145.475069,1000,477.088022
267.568449,675,478.894343
-36.693741,436,480.02171
151.837015,1000,483.696626
190.597649,581,485.303221
129.599355,1000,487.871906
98.590367,1000,490.523218
263.26565,616,492.213319
239.642297,834,494.340821
141.070049,1000,496.953662
245.682904,349,497.957773
153.478196,1000,500.736053
231.528367,485,502.028956
156.113374,1000,504.767727
156.13011,1000,507.401551
150.390054,1000,510.108659
266.053358,541,511.414503
-213.500853,97,511.646298
-33.456351,110,511.948422
186.689938,1000,514.362358
156.08829,1000,517.109667
164.426569,1000,519.793054
272.191914,282,520.634739
-29.391674,297,521.467053
171.316101,1000,524.189057
-3.816231,1000,526.949457
222.927069,518,528.35589
-24.174473,132,528.717353
160.165878,1000,531.516236
194.62873,1000,534.291561
24.772652,119,534.612982
258.054823,819,536.838292
9.464155,131,537.199272
211.489371,595,538.83494
-5.607947,78,539.05492
131.353615,1000,541.817855
245.843498,695,543.778561
35.085749,94,544.040876
259.153079,309,544.871596
152.128636,1000,547.626589
156.29074,1000,551.569367
77.327397,180,552.059238
265.970208,382,553.049976
2.793847,125,553.365808
-11.448648,98,553.615588
159.755694,1000,556.34116
53.418323,121,556.665182
246.311489,515,558.051513
157.982567,1000,560.80113
153.543539,1000,563.484625
29.919246,98,563.752017
-480.815128,192,564.278752
226.514489,220,564.866635
179.179737,1000,567.616527
-152.931495,93,567.87539
40.48658,106,568.175349
54.701932,92,568.428174
158.124073,1000,571.114646
44.633858,112,571.42954
31.110862,125,571.784985
61.054755,96,572.045733
-51.878392,112,572.324214
66.256826,142,572.704734
69.587202,101,572.970559
160.022187,1000,575.635653
52.364422,95,575.893359
164.639656,1000,578.601393
30.128815,159,579.067878
-20.756402,105,579.398737
13.181663,142,579.792538
-71.031524,73,579.995867
161.859073,1000,582.786665
276.630996,250,583.512566
-119.336545,479,584.809184
128.418261,1000,587.596877
129.564937,1000,590.232821
253.562607,850,592.449118
34.47003,106,592.763055
-589.9204,84,592.980005
249.492602,842,595.259561
163.155846,1000,597.949119
258.815545,557,599.489318
289.416718,912,601.911199
-36.533718,116,602.234949
241.574637,210,602.86517
218.543261,952,605.364104
158.168097,1000,608.06136
276.709431,281,608.780954
131.336018,1000,611.507551
142.646549,1000,614.116434
153.113924,1000,616.796765
163.218387,1000,619.887632
277.594536,525,621.280012
134.054372,1000,624.004485
135.973048,1000,626.919997
237.221355,367,627.904377
137.507438,1000,630.492446
143.46882,1000,632.968739
61.205613,89,633.178496
-7.237958,114,633.4453
-91.787506,122,633.746623
-546.533962,217,634.370585
124.532037,1000,637.058579
-5.380021,96,637.317769
154.832578,1000,640.117016
130.548646,1000,642.864333
111.27604,1000,645.531941
60.508836,125,645.881735
168.749992,1000,648.824326
311.022671,290,649.518976
160.005475,1000,652.183244
30.795292,103,652.445317
236.801789,674,654.12255
-142.072607,91,654.350773
-48.727251,93,654.578941
240.306489,488,655.861496
264.194509,911,658.283591
289.598971,241,658.927325
146.289033,1000,661.70146
71.867631,121,662.048368
272.807279,266,662.785285
12.19843,105,663.068796
43.21752,96,663.338693
-10.055133,124,663.675684
18.307205,98,663.933206
242.765469,898,666.42881
49.479549,89,666.664174
175.913724,1000,669.34751
37.808421,92,669.579398
-20.729628,125,669.900206
252.937877,496,671.149846
118.468541,1000,673.750539
241.745022,319,674.652719
-15.120004,135,675.023865
295.613529,360,676.030734
130.323648,1000,678.816384
283.296748,300,679.623777
266.709678,498,680.948451
239.452681,258,681.677698
280.438567,394,682.721969
141.934394,1000,685.369366
241.183004,564,687.934021
158.792865,1000,690.565396
292.921268,296,691.313168
265.302013,864,693.545502
261.076419,365,694.460237
269.39438,373,695.476505
46.681501,116,695.791362
161.327532,1000,698.497608
21.999478,144,698.861477
282.113126,968,701.505442
57.977651,92,701.756637
-1.8578,91,701.986075
288.365495,669,704.001688
57.245296,91,704.244125
19.883709,107,704.520452
163.006459,1000,707.263619
-6.408006,94,707.527267
276.303145,991,710.132103
132.091177,1000,712.604403
292.721117,288,713.382511
273.634523,480,714.634855
254.472247,817,716.868773
270.881029,430,718.015885
269.371616,286,718.764186
4.112192,90,718.99249
39.701764,97,719.216482
154.156637,1000,721.656024
276.934737,726,723.46097
261.567351,532,724.885869
164.231463,1000,727.525179
15.485245,104,727.80261
273.429042,897,730.35919
282.279316,255,731.062834
17.95778,75,731.264672
36.107252,114,731.550134
168.362848,1000,734.051278
162.966813,1000,736.646622
179.572082,1000,739.951968
272.223474,446,741.328593
-0.129046,106,741.612581
105.863127,1000,744.289851
67.911191,137,744.681339
62.905258,98,744.962366
312.508736,347,745.949492
296.158765,268,746.66281
270.045761,605,748.332628
8.330614,113,748.643806
274.776836,251,749.370304
6.204269,102,749.626309
-617.8496,121,749.952408
58.557798,113,750.248702
296.81298,760,752.193139
-24.151784,127,752.583443
71.270944,171,753.062839
273.385726,179,753.514883
49.466042,119,753.79892
-7.004318,135,754.901722
19.089181,113,755.18945
32.293225,105,755.433237
24.799425,113,755.694083
42.804947,135,756.004321
31.110202,97,756.231024
46.477795,112,756.53075
283.059285,226,757.166783
163.872604,1000,759.777072
35.422849,90,760.006927
58.483955,140,760.391831
149.88321,1000,763.010689
272.156459,496,764.328249
154.71956,1000,766.969584
52.032,100,767.240049
14.366035,107,767.572073
134.650918,1000,770.305801
255.486684,178,770.746152
-1.71862,91,770.966218
293.813115,501,772.228491
21.503502,105,772.479264
54.021215,152,772.834833
-14.613728,141,773.181384
30.282948,116,773.511933
3.332497,144,773.844909
68.158313,153,774.185149
158.512629,1000,776.637308
