#{"t_start": 1733292345.6618145, "env_id": "LunarLander-v3"}
r,l,t
-71.831584,85,418.131395
-51.936072,97,420.783325
-150.534891,98,423.156874
-74.644453,85,425.027193
-63.674818,60,426.264136
-90.135101,83,428.347376
-210.821181,87,430.279137
-77.162215,94,432.466213
-77.058182,64,434.069981
-105.17125,85,436.151278
-79.628715,63,437.567224
-87.134315,73,439.232535
-53.835212,95,441.296615
-102.073678,97,443.62283
-92.647163,73,445.322053
-49.692159,92,447.362575
-97.622737,107,449.780037
-56.637901,63,451.249123
-86.837829,74,453.052233
-77.642055,65,454.679086
-65.711684,58,456.147436
-89.072306,62,457.715654
-78.538434,64,459.219547
-71.93298,73,460.967011
-109.953374,79,462.901636
-64.586329,65,464.449475
-79.415235,93,466.59441
-76.177852,77,468.287786
-71.131752,94,470.392387
-84.360417,71,471.896534
-61.022854,64,473.381594
-73.247019,95,475.680859
-50.298907,78,477.356091
-111.891958,79,479.030235
-86.472203,78,480.75658
29.184138,67,482.451436
-96.341969,68,484.103401
-95.082254,90,486.234055
-135.662011,65,487.675254
-82.802066,82,489.486188
-73.58709,66,490.952015
-118.197691,69,492.707791
-82.019902,66,494.23679
-117.340697,82,496.175085
-62.735181,54,497.403624
-74.328612,70,498.858296
-117.592392,81,500.624484
-61.82588,74,502.222792
-80.580605,76,504.071407
-60.69664,73,505.48172
-67.020942,78,507.256908
-109.444028,65,508.529519
-66.090113,102,510.577844
-60.046348,66,512.048647
-117.823356,79,513.80268
-46.654584,65,515.124014
-48.239583,93,517.161068
-96.437224,83,519.042101
-114.523274,85,520.634193
-94.282283,86,522.437017
-126.863465,94,524.307678
-74.042109,62,525.79935
-135.26655,75,527.470592
-104.356287,77,529.07883
-58.110682,98,531.240002
-76.373839,75,532.764852
-95.783998,76,534.354081
-60.138392,60,535.685325
-112.112635,69,537.294724
-85.581217,66,538.83742
-95.973014,87,540.570156
-85.169069,62,541.894791
-79.679712,82,543.532832
-45.83733,71,544.989032
-168.478085,89,546.954408
-97.402736,71,548.583203
-97.297556,68,550.212076
-45.249857,57,551.595256
-89.653879,84,553.460231
-10.154222,67,554.680123
-108.886522,90,556.445411
-73.657625,61,557.865488
-38.918894,78,559.295661
-65.930683,95,561.352715
-60.186066,60,564.299596
-57.669976,68,565.758611
-46.840592,66,567.02264
-103.231191,93,569.055338
-70.130945,79,570.642039
-98.496213,96,572.529857
-65.415911,89,574.29967
-94.109216,86,576.020437
-65.587133,59,577.269712
-78.634419,93,579.368953
-38.468485,100,581.559939
-69.306031,102,583.749417
-71.385063,55,584.936617
-82.626724,70,586.322252
-216.219534,99,588.294147
-43.012866,68,589.499261
-51.028486,71,590.858995
8.017717,85,592.631696
-177.557669,66,593.982041
-66.850116,80,595.543303
-34.668293,73,596.954792
