#{"t_start": 1733328529.8499105, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1123.83355
-200.0,200,1127.263024
-200.0,200,1130.529212
-200.0,200,1134.156524
-200.0,200,1137.677679
-200.0,200,1141.276389
-200.0,200,1144.944497
-200.0,200,1148.763052
-200.0,200,1152.991513
-200.0,200,1156.769543
-200.0,200,1160.63867
-200.0,200,1164.027016
-200.0,200,1167.437459
-200.0,200,1171.047309
-200.0,200,1174.193909
-200.0,200,1177.705959
-200.0,200,1181.328137
-200.0,200,1184.865829
-200.0,200,1188.398633
-200.0,200,1191.96845
-200.0,200,1195.236219
-200.0,200,1198.456479
-200.0,200,1201.816794
-200.0,200,1205.158669
-200.0,200,1208.583602
-200.0,200,1211.86646
-200.0,200,1215.263336
-200.0,200,1218.585622
-200.0,200,1222.198388
-200.0,200,1225.932851
-200.0,200,1229.559256
-200.0,200,1232.99475
-200.0,200,1236.323702
-200.0,200,1239.969529
-200.0,200,1243.521246
-200.0,200,1246.881486
-200.0,200,1250.129026
-200.0,200,1253.408484
-200.0,200,1257.17318
-200.0,200,1260.716527
-200.0,200,1264.145945
-200.0,200,1267.761089
-200.0,200,1271.275202
-200.0,200,1274.769675
-200.0,200,1278.084803
-200.0,200,1281.497058
-200.0,200,1285.014018
-200.0,200,1288.599838
-200.0,200,1291.989969
-200.0,200,1295.50511
-200.0,200,1298.949282
-200.0,200,1302.545441
-200.0,200,1305.994713
-200.0,200,1309.409093
-200.0,200,1312.798044
-200.0,200,1316.35924
-200.0,200,1319.833765
-200.0,200,1323.058672
-200.0,200,1326.886527
-200.0,200,1330.098743
-200.0,200,1333.319627
-200.0,200,1336.184798
-200.0,200,1339.333482
-200.0,200,1342.76564
-200.0,200,1346.19274
-200.0,200,1349.45701
-165.0,165,1352.148217
-200.0,200,1355.589826
-120.0,120,1357.538618
-121.0,121,1359.185638
-200.0,200,1362.388491
-167.0,167,1364.560633
-200.0,200,1367.528727
-200.0,200,1370.522552
-200.0,200,1373.585998
-164.0,164,1375.918539
-170.0,170,1378.253218
-200.0,200,1381.033928
-171.0,171,1383.886408
-200.0,200,1386.999768
-193.0,193,1389.697163
-200.0,200,1392.693992
-200.0,200,1395.494933
-200.0,200,1398.72317
-200.0,200,1401.660759
-200.0,200,1404.617125
-200.0,200,1407.715722
-200.0,200,1410.283482
-200.0,200,1413.409495
-200.0,200,1416.145973
-200.0,200,1418.98563
-200.0,200,1421.769239
-200.0,200,1424.548244
-200.0,200,1427.316872
-200.0,200,1430.347379
-200.0,200,1433.041221
-200.0,200,1435.796872
-200.0,200,1438.586026
-200.0,200,1441.283814
-200.0,200,1443.826961
-200.0,200,1446.241775
-200.0,200,1448.615574
-200.0,200,1451.053111
-200.0,200,1453.557625
-200.0,200,1455.986434
-200.0,200,1458.656904
-200.0,200,1461.241675
-200.0,200,1463.800508
-200.0,200,1466.58919
-200.0,200,1469.31968
-200.0,200,1472.016848
-200.0,200,1474.465841
-200.0,200,1477.048534
-200.0,200,1479.696029
-200.0,200,1482.311357
-200.0,200,1484.973899
-200.0,200,1487.366505
-200.0,200,1489.829932
-200.0,200,1492.377164
-200.0,200,1494.854152
-200.0,200,1497.010655
-200.0,200,1500.754244
-200.0,200,1502.943173
-200.0,200,1505.146368
-200.0,200,1507.835233
-200.0,200,1510.212613
-200.0,200,1512.816723
-200.0,200,1515.342705
-200.0,200,1518.076741
-200.0,200,1520.785235
-200.0,200,1523.659463
-200.0,200,1525.700427
-200.0,200,1528.091324
-200.0,200,1530.758129
-200.0,200,1533.324012
-200.0,200,1535.571523
-200.0,200,1538.172574
-200.0,200,1540.506872
-200.0,200,1542.650231
-185.0,185,1544.918547
-200.0,200,1547.241391
-200.0,200,1549.711679
-193.0,193,1552.141291
-200.0,200,1554.596818
-200.0,200,1557.36424
-200.0,200,1559.660055
-200.0,200,1561.905976
-200.0,200,1564.129956
-200.0,200,1566.379475
-200.0,200,1568.758344
-200.0,200,1571.125897
-200.0,200,1573.449685
-200.0,200,1575.785191
-200.0,200,1578.010019
-200.0,200,1579.95488
-200.0,200,1581.91996
-200.0,200,1583.932933
-200.0,200,1585.984895
-200.0,200,1588.157531
-200.0,200,1590.103805
-200.0,200,1592.080771
-200.0,200,1594.031327
-200.0,200,1596.328138
-200.0,200,1598.592854
-200.0,200,1600.974882
-200.0,200,1603.361658
-200.0,200,1605.59574
-200.0,200,1607.839611
-200.0,200,1610.351355
-200.0,200,1612.724745
-200.0,200,1614.734697
-200.0,200,1616.994778
-200.0,200,1619.131795
-200.0,200,1621.351514
-200.0,200,1623.653519
-200.0,200,1625.811638
-200.0,200,1628.004114
-200.0,200,1630.154837
-196.0,196,1632.416199
-200.0,200,1634.39828
-200.0,200,1636.454158
-200.0,200,1638.679059
-200.0,200,1640.597925
-200.0,200,1642.7879
-193.0,193,1644.912497
-200.0,200,1646.885489
-200.0,200,1649.192881
-200.0,200,1651.146269
-200.0,200,1653.02548
-200.0,200,1655.013158
-200.0,200,1657.148345
-200.0,200,1659.063477
-200.0,200,1660.971888
-200.0,200,1663.083481
-200.0,200,1665.035995
-200.0,200,1667.263451
-200.0,200,1669.102869
-200.0,200,1670.831592
-200.0,200,1672.651168
-200.0,200,1674.547279
-200.0,200,1676.514072
-200.0,200,1678.259301
-200.0,200,1680.090496
-200.0,200,1681.797581
-200.0,200,1683.63651
-200.0,200,1685.480994
-200.0,200,1687.379396
-200.0,200,1689.341176
-200.0,200,1691.189253
-200.0,200,1692.899194
-200.0,200,1694.681155
-200.0,200,1696.255127
-200.0,200,1697.910902
-200.0,200,1699.641008
-200.0,200,1701.079325
-200.0,200,1702.716633
-200.0,200,1704.188702
-200.0,200,1705.569926
-200.0,200,1707.226154
-200.0,200,1708.744339
-200.0,200,1710.351298
-200.0,200,1711.947927
-200.0,200,1713.611874
-200.0,200,1715.386052
-200.0,200,1716.993493
-200.0,200,1718.551308
-200.0,200,1720.081024
-200.0,200,1721.742239
-200.0,200,1723.487047
-200.0,200,1725.254706
-200.0,200,1726.768636
-200.0,200,1728.569768
-200.0,200,1730.082626
-200.0,200,1731.62671
-200.0,200,1733.110465
-200.0,200,1734.615376
-200.0,200,1736.118446
-200.0,200,1737.7707
-200.0,200,1739.277731
-200.0,200,1740.761554
-200.0,200,1742.124039
-200.0,200,1743.540995
-200.0,200,1744.797516
-200.0,200,1746.140323
-200.0,200,1747.430048
-200.0,200,1748.745573
-200.0,200,1751.622501
-200.0,200,1753.037718
-200.0,200,1754.42393
-200.0,200,1755.882544
-200.0,200,1757.1254
-200.0,200,1758.547862
-200.0,200,1759.94731
-200.0,200,1761.468316
-200.0,200,1762.834751
-200.0,200,1764.469267
-169.0,169,1765.711846
-200.0,200,1767.620022
-200.0,200,1769.136728
-200.0,200,1771.012815
-200.0,200,1772.396682
-200.0,200,1774.259451
-200.0,200,1776.137296
-200.0,200,1777.885884
-200.0,200,1779.296225
-200.0,200,1780.635676
-200.0,200,1782.216426
-200.0,200,1783.673904
-200.0,200,1785.004303
-200.0,200,1786.359466
-200.0,200,1787.61896
