#{"t_start": 1733392773.9881806, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1621.283863
-200.0,200,1625.58944
-175.0,175,1629.547399
-200.0,200,1634.335352
-161.0,161,1638.655278
-174.0,174,1642.434498
-176.0,176,1646.77258
-156.0,156,1650.614748
-200.0,200,1654.605239
-200.0,200,1659.000247
-197.0,197,1663.673612
-200.0,200,1668.441768
-200.0,200,1673.651478
-189.0,189,1678.474912
-162.0,162,1682.244672
-200.0,200,1686.676733
-167.0,167,1690.412308
-185.0,185,1694.678843
-181.0,181,1698.640407
-200.0,200,1703.129332
-200.0,200,1708.01687
-200.0,200,1712.561149
-172.0,172,1716.018182
-152.0,152,1719.131572
-149.0,149,1722.337404
-133.0,133,1725.651667
-85.0,85,1727.409772
-169.0,169,1731.448923
-159.0,159,1734.862573
-154.0,154,1738.462384
-185.0,185,1742.212043
-184.0,184,1746.367033
-153.0,153,1749.805776
-165.0,165,1753.359729
-89.0,89,1755.486121
-92.0,92,1757.645125
-156.0,156,1760.783395
-188.0,188,1764.437941
-178.0,178,1768.226835
-172.0,172,1771.827555
-168.0,168,1775.769827
-168.0,168,1779.3484
-160.0,160,1782.483412
-162.0,162,1785.776089
-184.0,184,1789.262251
-187.0,187,1793.156928
-200.0,200,1798.046356
-164.0,164,1801.782369
-200.0,200,1806.311857
-200.0,200,1811.118439
-200.0,200,1816.098383
-200.0,200,1821.083027
-200.0,200,1825.890266
-200.0,200,1830.762543
-200.0,200,1835.346721
-179.0,179,1839.773067
-197.0,197,1844.085737
-200.0,200,1848.427891
-189.0,189,1852.887543
-200.0,200,1857.958025
-149.0,149,1861.836506
-200.0,200,1866.23932
-200.0,200,1871.122452
-200.0,200,1875.728122
-200.0,200,1880.549172
-200.0,200,1885.434518
-200.0,200,1889.408263
-200.0,200,1893.673697
-164.0,164,1897.283271
-165.0,165,1901.190953
-200.0,200,1904.943432
-200.0,200,1908.54555
-200.0,200,1912.671926
-200.0,200,1916.835688
-200.0,200,1920.46938
-200.0,200,1924.52444
-200.0,200,1928.432294
-200.0,200,1932.468405
-200.0,200,1936.671761
-200.0,200,1941.013598
-200.0,200,1945.251997
-164.0,164,1948.993173
-168.0,168,1952.030097
-170.0,170,1955.792513
-200.0,200,1959.781487
-190.0,190,1963.892531
-200.0,200,1968.290466
-200.0,200,1972.562906
-200.0,200,1976.13624
-200.0,200,1979.513999
-200.0,200,1983.217162
-200.0,200,1987.306484
-200.0,200,1991.247794
-162.0,162,1994.247178
-160.0,160,1997.403854
-200.0,200,2001.141622
-200.0,200,2004.905353
-200.0,200,2008.633218
-200.0,200,2012.425457
-200.0,200,2015.702178
-200.0,200,2018.729494
-179.0,179,2022.070837
-200.0,200,2024.972486
-200.0,200,2028.668184
-94.0,94,2030.228522
-200.0,200,2033.614448
-150.0,150,2036.852588
-92.0,92,2038.450369
-194.0,194,2041.867524
-200.0,200,2045.079911
-200.0,200,2048.576034
-200.0,200,2052.292473
-157.0,157,2055.300727
-152.0,152,2058.392386
-200.0,200,2062.054492
-200.0,200,2065.493045
-200.0,200,2069.105718
-200.0,200,2072.812236
-200.0,200,2076.199535
-200.0,200,2079.637687
-200.0,200,2083.317901
-200.0,200,2087.01478
-200.0,200,2090.234325
-200.0,200,2093.774928
-200.0,200,2097.232601
-200.0,200,2100.684361
-200.0,200,2103.741131
-169.0,169,2106.322876
-176.0,176,2109.007825
-156.0,156,2111.449342
-200.0,200,2114.395405
-88.0,88,2115.59149
-163.0,163,2117.934565
-159.0,159,2120.459963
-163.0,163,2123.100192
-200.0,200,2126.55092
-200.0,200,2129.318843
-130.0,130,2131.648563
-200.0,200,2134.2478
-147.0,147,2136.391065
-195.0,195,2139.47616
-200.0,200,2142.446643
-200.0,200,2145.353686
-162.0,162,2147.597165
-200.0,200,2150.260351
-200.0,200,2153.538566
-200.0,200,2156.905011
-200.0,200,2159.973508
-200.0,200,2163.54806
-200.0,200,2166.788285
-161.0,161,2170.481786
-167.0,167,2173.547026
-200.0,200,2177.081081
-168.0,168,2180.082724
-200.0,200,2183.27203
-200.0,200,2186.760138
-121.0,121,2188.794002
-129.0,129,2190.773142
-122.0,122,2192.744359
-122.0,122,2194.908206
-159.0,159,2197.511137
-179.0,179,2200.926253
-175.0,175,2203.686731
-165.0,165,2206.173042
-95.0,95,2208.164253
-200.0,200,2211.479383
-105.0,105,2213.187752
-168.0,168,2216.103179
-188.0,188,2218.757489
-96.0,96,2220.6765
-96.0,96,2222.035491
-200.0,200,2225.156726
-152.0,152,2227.817935
-155.0,155,2229.937297
-200.0,200,2232.978957
-165.0,165,2235.781629
-200.0,200,2238.984851
-90.0,90,2240.118396
-135.0,135,2242.206901
-200.0,200,2244.753038
-131.0,131,2246.492551
-200.0,200,2249.358526
-200.0,200,2252.164391
-200.0,200,2255.098018
-200.0,200,2258.12383
-148.0,148,2260.36809
-200.0,200,2263.174682
-200.0,200,2266.43037
-110.0,110,2268.002743
-182.0,182,2270.636896
-158.0,158,2272.974371
-200.0,200,2275.464107
-164.0,164,2277.828396
-98.0,98,2279.16135
-179.0,179,2281.576288
-155.0,155,2283.897698
-148.0,148,2285.877612
-160.0,160,2288.203939
-187.0,187,2290.833621
-161.0,161,2293.179613
-165.0,165,2295.586055
-170.0,170,2297.920641
-178.0,178,2300.434049
-87.0,87,2301.532784
-91.0,91,2302.876194
-200.0,200,2305.049885
-152.0,152,2306.929899
-94.0,94,2308.141846
-154.0,154,2309.897522
-150.0,150,2311.719696
-200.0,200,2313.852396
-120.0,120,2315.306726
-200.0,200,2317.84493
-122.0,122,2319.422225
-95.0,95,2320.491453
-200.0,200,2322.840703
-200.0,200,2325.184472
-129.0,129,2327.039662
-122.0,122,2328.435706
-98.0,98,2329.921603
-152.0,152,2331.631141
-163.0,163,2333.596481
-170.0,170,2335.234731
-136.0,136,2336.682146
-180.0,180,2338.449876
-200.0,200,2341.047985
-117.0,117,2342.338455
-133.0,133,2343.94251
-200.0,200,2346.391498
-121.0,121,2347.83451
-200.0,200,2349.718541
-200.0,200,2351.657834
-119.0,119,2353.046892
-200.0,200,2355.441683
-186.0,186,2357.780419
-171.0,171,2359.802501
-124.0,124,2361.085887
-200.0,200,2363.217519
-160.0,160,2364.709415
-124.0,124,2366.170598
-200.0,200,2368.133419
-113.0,113,2369.291897
-200.0,200,2370.951473
-161.0,161,2372.434829
-179.0,179,2374.478322
-155.0,155,2375.731321
-200.0,200,2377.590955
-163.0,163,2379.16134
-167.0,167,2380.725079
-111.0,111,2381.764816
-126.0,126,2383.077658
-124.0,124,2384.136469
-111.0,111,2385.294125
-115.0,115,2386.199459
-139.0,139,2387.562355
-115.0,115,2388.602628
-200.0,200,2390.246607
-112.0,112,2391.309289
-87.0,87,2391.940122
-152.0,152,2393.236841
-103.0,103,2394.180802
-200.0,200,2395.702263
-200.0,200,2397.496679
-91.0,91,2398.280743
-172.0,172,2399.820316
-200.0,200,2401.634234
-152.0,152,2403.102067
-85.0,85,2403.832124
-160.0,160,2405.193346
-200.0,200,2406.827602
-200.0,200,2408.418661
-87.0,87,2409.19482
-200.0,200,2410.79135
-164.0,164,2412.442147
-84.0,84,2413.225642
-200.0,200,2414.64227
-173.0,173,2415.887864
-157.0,157,2417.221383
-121.0,121,2418.348989
-136.0,136,2419.456955
-145.0,145,2420.647144
-139.0,139,2421.938241
-98.0,98,2422.505401
-87.0,87,2423.195763
-156.0,156,2424.376402
-88.0,88,2425.081253
-200.0,200,2427.001735
-111.0,111,2427.847094
-110.0,110,2428.577856
-113.0,113,2429.511466
-108.0,108,2430.531448
-117.0,117,2431.529537
-115.0,115,2432.369221
-109.0,109,2433.387264
-86.0,86,2434.066461
-176.0,176,2435.47083
-107.0,107,2436.340271
-200.0,200,2437.965472
-98.0,98,2438.655766
-120.0,120,2439.373381
-162.0,162,2440.545162
-200.0,200,2442.391509
-153.0,153,2443.584433
-181.0,181,2444.798727
-200.0,200,2446.09161
-200.0,200,2447.579981
-84.0,84,2448.248355
-200.0,200,2449.522855
-85.0,85,2450.175066
-200.0,200,2451.576166
-200.0,200,2452.883363
-164.0,164,2454.368429
-200.0,200,2455.801584
-200.0,200,2457.595541
-200.0,200,2458.744226
-92.0,92,2459.354176
-200.0,200,2460.590773
-109.0,109,2461.509729
-171.0,171,2462.613607
-91.0,91,2463.341288
-200.0,200,2464.73315
-93.0,93,2465.427549
-94.0,94,2466.049787
-106.0,106,2466.680669
-200.0,200,2467.919046
-165.0,165,2468.989089
-92.0,92,2469.616783
-200.0,200,2471.069592
-118.0,118,2471.74946
-200.0,200,2472.95841
-93.0,93,2473.643654
-85.0,85,2474.277279
-140.0,140,2475.33517
-167.0,167,2476.292082
-90.0,90,2476.863442
-93.0,93,2477.516578
-174.0,174,2478.583598
-161.0,161,2479.824052
-164.0,164,2480.857943
-150.0,150,2481.779932
-177.0,177,2482.888935
-176.0,176,2484.062253
-200.0,200,2485.528685
-200.0,200,2486.67895
-125.0,125,2487.330974
-141.0,141,2488.28531
-130.0,130,2489.070911
-100.0,100,2489.662507
-112.0,112,2490.213361
-101.0,101,2490.631709
-115.0,115,2491.500733
-114.0,114,2492.090589
-86.0,86,2492.674261
-113.0,113,2493.517723
-88.0,88,2494.275533
-117.0,117,2494.815491
-118.0,118,2495.844586
-88.0,88,2496.414488
-112.0,112,2497.299997
-99.0,99,2497.960457
