#{"t_start": 1733242022.1254387, "env_id": "LunarLander-v3"}
r,l,t
-23.438784,84,115.455588
8.865516,150,116.052889
-8.974058,189,116.798766
-18.663414,113,117.263944
-9.193849,225,118.19888
-21.234172,112,118.698412
3.839404,205,119.6355
-6.366514,172,120.397632
-88.621513,154,121.070619
5.631437,171,121.803485
-30.252543,116,122.325849
15.913874,133,122.880564
-62.015483,131,123.41953
4.569763,110,123.914016
10.596708,96,124.307349
28.884048,129,124.771185
55.314191,1000,128.664597
-78.734263,147,129.197085
-42.095184,114,129.608726
-24.028111,169,130.303907
12.081933,114,130.750861
-128.261952,235,131.679469
-24.70577,250,132.776029
-32.481391,206,133.554608
-72.577985,96,133.908796
-32.058727,218,134.84192
-127.978673,265,135.981317
-63.800806,138,136.571546
-36.860723,88,136.960934
-93.804915,131,137.545304
-21.636731,185,138.326484
14.181342,1000,142.701593
-41.112322,79,143.010435
134.032458,1000,147.321705
9.030059,508,149.452327
-12.686406,142,150.008782
-46.515435,107,150.45029
-129.80141,189,151.180729
-36.134409,142,151.701517
73.323509,1000,155.780803
49.915099,1000,159.877908
42.451699,130,160.439587
208.102344,611,163.059215
206.918289,749,166.220533
136.902542,697,169.271618
76.464376,1000,173.207675
66.541204,1000,177.074666
95.1444,1000,181.223133
86.250702,1000,185.644969
-159.972217,160,186.349688
75.619269,1000,190.674999
88.26041,1000,194.821765
69.144628,1000,198.986774
100.271843,1000,203.342963
-7.536255,1000,214.698257
67.254128,1000,218.848464
36.355187,1000,223.199965
6.279385,1000,227.942776
-32.422873,1000,232.152184
-50.499644,1000,237.100334
14.616888,1000,241.625209
186.786809,712,244.690301
179.098384,579,247.270628
-21.423051,1000,251.682413
127.611478,694,254.94101
45.058844,1000,259.659872
105.481709,941,264.020539
107.479089,786,267.713012
244.070475,528,269.903813
239.571012,452,271.982632
203.665471,504,274.134765
103.993013,776,277.78771
254.603071,537,280.291293
-16.314621,1000,284.887787
-21.684819,1000,289.444434
-7.249918,1000,293.667436
135.459363,851,297.304485
213.306698,459,299.388663
217.878406,412,301.355981
243.804832,425,303.40777
245.262363,435,305.45217
291.950561,307,307.074628
224.287917,507,309.524418
181.715894,606,312.131266
